Plot,Rep,Column,Range,Entry,Accession,Rand,Type,Trial,Loc,Entry_no,Survival.autumn.2015,Height.2015,Basal.circumference.2015,Culm.number.2015,Fall.dormancy.date.2015,Frost.Damage.2015,Number.of.Reproductive.Culms.2015,Spring.Re.growth.Date.2016,Frost.Damage.Spring.2016,Survival.spring.2016,Overwintering.Ability.2016,Tiller.Count,Basal.Circ.during.Tiller.Count,First.Heading.Date.2016,X50..Heading.Date.2016,First.Flowering.Date.2016,X50..Flowering.Date.2016,Survival.autumn.2016,Growth.Stage.2016,Compressed.Plant.Circumference.2016,Basal.Circumference.2016,Total.Culm.2016,Repro.Culm.2016,Autumn.Dormancy.Date.2016,Frost.Damage.Autumn.2016,Lodging.2016,Culm.Length.2016,Culm.Outer.Diameter.at.the.Basal.Internode.2016,Culm.Outer.Diameter.at.Last.internode.2016,Culm.Node.Number.2016,Culm.Dry.Weight.2016,Secondary.Stem.Count.2016,Total.Weight.of.Secondary.Stems.2016,Primary.Stem.Weight.2016,Culm.Density.2016,Average.Internode.Length.2016,Biomass.Yield.fresh.weight.2016,Sub.sample.Yield.fresh.weight.2016,Sub.sample.Yield.dry.weight.2016,Moisture.content.2016,Biomass.Yield.dry.weight.2016,Spring.Re.growth.Date.2017,Frost.Damage.Spring.2017,Survival.spring.2017,Overwintering.Ability.2017,First.Heading.Date.2017,X50..Heading.Date.2017,First.Flowering.Date.2017,X50..Flowering.Date.2017,Survival.autumn.2017,Growth.Stage.2017,Compressed.Plant.Circumference.2017,Basal.Circumference.2017,Total.Culm.2017,Repro.Culm.2017,Autumn.Dormancy.Date.2017,Frost.Damage.Autumn.2017,Lodging.2017,CCirc.BCirc.2017,TCmN.Area.2017,Plant.Height.2017,Culm.Length.2017,Culm.Outer.Diameter.at.the.Basal.Internode.2017,Culm.Outer.Diameter.at.Last.internode.2017,Culm.Node.Number.2017,Culm.Dry.Weight.2017,Culm.Density..mass.volume..2017..CmDW.V.,Average.Internode.Length.2017,Biomass.Yield.fresh.weight.2017,Sub.sample.Yield.fresh.weight.2017,Sub.sample.Yield.dry.weight.2017,Moisture.content.2017,Biomass.Yield.dry.weight.2017,Prop.repro.culm.2015,Prop.repro.culm.2016,Prop.repro.culm.2017
1,1,1,AA,M. sacchariflorus 'Gotemba Gold'-UI11-00005,UI11-00005,0.003431482,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,171,1,89,12,9,NA,8,NA,5/29/2016,1,1,1,NA,NA,NA,NA,NA,NA,1,NR,NA,NA,10,0,NA,10,NA,87,5.63,1.5,20,12.15,NA,NA,NA,NA,4.35,40,40,38.7,96.75,38.7,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
2,1,1,AB,RU2012-078,RU2012-078,0.004410991,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,53,1,NA,NA,3,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,1,AC,RU2012-096,RU2012-096,0.005307551,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,69,1,NA,NA,3,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,1,AD,RU2012-106,RU2012-106,0.011137986,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,78,1,NA,NA,3,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,1,AE,KMS452,KMS452,0.013505408,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,494,1,NA,NA,3,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,1,AF,KMS326,KMS326,0.014629017,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,375,1,NA,NA,3,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1,1,AG,RU2012-205,RU2012-205,0.01688733,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,157,1,170,10,7,NA,10,7,5/29/2016,1,1,1,NA,NA,8/5/2016,8/12/2016,8/12/2016,8/19/2016,1,PF,NA,NA,73,25,10/15/2016,NA,1,197,3.94,2.54,13,11.26,NA,NA,NA,NA,15.15,380,60,48.3,80.5,305.9,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.342465753,NA
8,1,1,AH,KMS264,KMS264,0.018361863,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,353,1,47,11,9,NA,10,NA,5/15/2016,1,1,1,NA,NA,9/30/2016,10/21/2016,10/14/2016,NA,1,F,NA,NA,42,2,10/8/2016,10,1,116,4.7,1.76,17,9.03,NA,NA,NA,NA,6.82,460,100,70,70,322,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.047619048,NA
9,1,1,AI,JY055,JY055,0.018755074,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,575,1,NA,NA,3,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1,1,AJ,KMS386,KMS386,0.022190748,M. sacchariflorus,DOE Msa Trial 2015_HU,Sapporo,428,1,45,16,6,NA,10,NA,5/29/2016,1,1,1,NA,NA,9/30/2016,10/21/2016,10/14/2016,10/28/2016,1,F,NA,NA,23,6,10/8/2016,10,1,109,4.47,2.23,10,4.27,NA,NA,NA,NA,10.9,220,110,67.7,61.54545455,135.4,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.260869565,NA
