Name in VCF files,In PstI dataset,In NsiI dataset,NCBI BioSample accession(s),Notes
Akeno,Y,Y,SAMN02209264,
blank,Y,Y,,Blank to control for level of contamination
CANE9233-US47-0011,Y,Y,SAMN02209311,
DC-2010-001-A,Y,Y,SAMN02209268,
DC-2010-001-E,Y,Y,SAMN02209269,
Gunma,Y,Y,SAMN02209265,
IGR-2011-001,Y,Y,SAMN02209638,
JM0001.001,Y,Y,SAMN02209313,
JM0001.002,Y,Y,SAMN02209314,
JM0001.003,Y,Y,SAMN02209315,
JM0022.001,Y,Y,SAMN02209318,
JM0022.002,Y,Y,SAMN02209319,
JM0022.003,Y,Y,SAMN02209320,
JM0026.001,Y,Y,SAMN02209321,
JM0026.002,Y,Y,SAMN02209322,
JM0026.003,Y,Y,SAMN02209323,
JM0034.001,Y,Y,SAMN02209324,
JM0040.003,Y,Y,SAMN02209326,
JM0045.002,Y,Y,SAMN02209327,
JM0047.001,Y,Y,SAMN02209328,
JM0047.002,Y,Y,SAMN02209329,
JM0048.001,Y,Y,SAMN02209330,
JM0050.002,Y,Y,SAMN02209332,
JM0050.003,Y,Y,SAMN02209333,
JM0051.002,Y,Y,SAMN02209334,
JM0051.003,Y,Y,SAMN02209335,
JM0053.002,Y,Y,SAMN02209336,
JM0055.001,Y,Y,SAMN02209337,
JM0055.002,Y,Y,SAMN02209338,
JM0057.001,Y,Y,SAMN02209339,
JM0057.002,Y,Y,SAMN02209340,
JM0058.001,Y,Y,SAMN02209341,
JM0058.003,Y,Y,SAMN02209343,
JM0059.001,Y,Y,SAMN02209344,
JM0059.002,Y,Y,SAMN02209345,
JM0061.002,Y,Y,SAMN02209346,
JM0062.001,Y,Y,SAMN02209347,
JM0062.002,Y,Y,SAMN02209348,
JM0062.003,Y,Y,SAMN02209349,
JM0069.001,Y,Y,SAMN02209350,
JM0069.002,Y,Y,SAMN02209351,
JM0075.002,Y,Y,SAMN02209353,
JM0076.001,Y,Y,SAMN02209354,
JM0076.002,Y,Y,SAMN02209355,
JM0079.002,Y,Y,SAMN02209357,
JM0085.001,Y,Y,SAMN02209359,
JM0085.002,Y,Y,SAMN02209360,
JM0085.003,Y,Y,SAMN02209361,
JM0091.001,Y,Y,SAMN02209362,
JM0091.002,Y,Y,SAMN02209363,
JM0093.001,Y,Y,SAMN02209364,
JM0094.001,Y,Y,SAMN02209365,
JM0094.003,Y,Y,SAMN02209367,
JM0096.002,Y,Y,SAMN02209371,
JM0098.001,Y,Y,SAMN02209372,
JM0098.002,Y,Y,SAMN02209373,
JM0099.001,Y,Y,SAMN02209374,
JM0118.001,Y,Y,SAMN02209375,
JM0118.002,Y,Y,SAMN02209376,
JM0118.003,Y,Y,SAMN02209377,
JM0119.001,Y,Y,SAMN02209378,
JM0119.002,Y,Y,SAMN02209379,
JM0125.001,Y,Y,SAMN02209380,
JM0134.002,Y,Y,SAMN02209383,
JM0216.001,Y,Y,SAMN02209384,
JM0216.002,Y,Y,SAMN02209385,
JM0220.001,Y,Y,SAMN02209386,
JM0229.001,Y,Y,SAMN02209388,
JM0229.002,Y,Y,SAMN02209389,
JM0232.001,Y,Y,SAMN02209390,
JM0232.002,Y,Y,SAMN02209391,
JM0233.002,Y,Y,SAMN02209393,
JM0239.001,Y,Y,SAMN02209394,
JM0239.002,Y,Y,SAMN02209395,
JM0295.001,Y,Y,SAMN02209396,
JM0295.002,Y,Y,SAMN02209397,
JM0296.001,Y,Y,SAMN02209398,
JM0296.002,Y,Y,SAMN02209399,
JM0297.001,Y,Y,SAMN02209400,
JM0298.001,Y,Y,SAMN02209402,
JM0298.002,Y,Y,SAMN02209403,
JM0300.001,Y,Y,SAMN02209404,
JM0300.002,Y,Y,SAMN02209405,
JM0303.002,Y,Y,SAMN02209406,
JM0304.001,Y,Y,SAMN02209407,
JM0304.002,Y,Y,SAMN02209408,
JM0307.001,Y,Y,SAMN02209409,
JM0308.002,Y,Y,SAMN02209411,
JM0310.001,Y,Y,SAMN02209412,
JM0310.002,Y,Y,SAMN02209413,
JM0311.001,Y,Y,SAMN02209414,
JM0311.002,Y,Y,SAMN02209415,
JM0315.001,Y,Y,SAMN02209416,
JM0315.002,Y,Y,SAMN02209417,
JM0317.001,Y,Y,SAMN02209418,
JM0317.002,Y,Y,SAMN02209419,
JM0318.001,Y,Y,SAMN02209420,
JM0318.002,Y,Y,SAMN02209421,
JM0319.001,Y,Y,SAMN02209422,
JM0319.002,Y,Y,SAMN02209423,
JM0325.001,Y,Y,SAMN02209424,
JM0325.002,Y,Y,SAMN02209425,
JM0326.001,Y,Y,SAMN02209426,
JM0341.002,Y,Y,SAMN02209427,
JM0342.001,Y,Y,SAMN02209428,
JM0346.001,Y,Y,SAMN02209430,
JM0346.002,Y,Y,SAMN02209431,
JM0347.001,Y,Y,SAMN02209432,
JM0353.001,Y,Y,SAMN02209434,
JM0353.002,Y,Y,SAMN02209435,
JM0358.001,Y,Y,SAMN02209436,
JM0361.001,Y,Y,SAMN02209437,
JM0361.002,Y,Y,SAMN02209438,
JM0362.001,Y,Y,SAMN02209439,
JM0362.002,Y,Y,SAMN02209440,
KMS005,Y,Y,SAMN02209441,
KMS008,Y,Y,SAMN02209442,
KMS009,Y,Y,SAMN02209443,
KMS011,Y,Y,SAMN02209444,
KMS014,Y,Y,SAMN02209445,
KMS016,Y,Y,SAMN02209446,
KMS018,Y,N,SAMN02209447,
KMS020,Y,Y,SAMN02209448,
KMS024,Y,Y,SAMN02209451,
KMS030,Y,Y,SAMN02209452,
KMS031,Y,Y,SAMN02209453,
KMS034,Y,Y,SAMN02209454,
KMS036,Y,Y,SAMN02209456,
KMS037,Y,Y,SAMN02209457,
KMS038,Y,Y,SAMN02209458,
KMS039,Y,Y,SAMN02209459,
KMS040,Y,Y,SAMN02209460,
KMS042,Y,Y,SAMN02209461,
KMS044,Y,Y,SAMN02209462,
KMS045,Y,Y,SAMN02209463,
KMS046,Y,Y,SAMN02209464,
KMS048,Y,Y,SAMN02209465,
KMS049,Y,Y,SAMN02209466,
KMS050,Y,Y,SAMN02209467,
KMS051,Y,Y,SAMN02209468,
KMS054,Y,Y,SAMN02209469,
KMS055,Y,Y,SAMN02209470,
KMS056,Y,Y,SAMN02209471,
KMS058,Y,Y,SAMN02209473,
KMS059,Y,Y,SAMN02209474,
KMS060,Y,Y,SAMN02209475,
KMS061,Y,Y,SAMN02209476,
KMS063,Y,Y,SAMN02209477,
KMS064,Y,Y,SAMN02209478,
KMS065,Y,Y,SAMN02209479,
KMS066,Y,Y,SAMN02209480,
KMS067,Y,Y,SAMN02209481,
KMS068,Y,Y,SAMN02209482,
KMS069a,Y,Y,SAMN06111838,
KMS070,Y,Y,SAMN02209483,
KMS071,Y,Y,SAMN02209484,
KMS072,Y,Y,SAMN02209485,
KMS074,Y,Y,SAMN02209486,
KMS075,Y,Y,SAMN02209487,
KMS076,Y,Y,SAMN02209488,
KMS077,Y,Y,SAMN02209489,
KMS078,Y,Y,SAMN02209490,
KMS079,Y,Y,SAMN02209491,
KMS080,Y,Y,SAMN02209492,
KMS081,Y,Y,SAMN02209493,
KMS082,Y,Y,SAMN02209494,
KMS083,Y,Y,SAMN02209495,
KMS084,Y,Y,SAMN02209496,
KMS086,Y,Y,SAMN02209498,
KMS087,Y,Y,SAMN02209499,
KMS089,Y,Y,SAMN02209500,
KMS090,Y,Y,SAMN02209501,
KMS091,Y,Y,SAMN02209502,
KMS092,Y,Y,SAMN02209503,
KMS093,Y,Y,SAMN02209504,
KMS095,Y,Y,SAMN02209505,
KMS096,Y,Y,SAMN02209506,
KMS097,Y,Y,SAMN02209507,
KMS098,Y,Y,SAMN02209508,
KMS099,Y,Y,SAMN02209509,
KMS100,Y,Y,SAMN02209510,
KMS101,Y,Y,SAMN02209511,
KMS102,Y,Y,SAMN02209512,
KMS103,Y,Y,SAMN02209513,
KMS104,Y,Y,SAMN02209514,
KMS105,Y,Y,SAMN02209515,
KMS107,Y,Y,SAMN02209516,
KMS108,Y,Y,SAMN02209517,
KMS109,Y,Y,SAMN02209518,
KMS110,Y,Y,SAMN02209519,
KMS111,Y,Y,SAMN02209520,
KMS112,Y,Y,SAMN02209521,
KMS113,Y,Y,SAMN02209522,
KMS115,Y,Y,SAMN02209523,
KMS116,Y,Y,SAMN02209524,
KMS117,Y,Y,SAMN02209525,
KMS118,Y,Y,SAMN02209526,
KMS119,Y,Y,SAMN02209527,
KMS120,Y,Y,SAMN02209528,
KMS121,Y,Y,SAMN02209529,
KMS123,Y,Y,SAMN02209531,
KMS124,Y,Y,SAMN02209532,
KMS125,Y,Y,SAMN02209533,
KMS126,Y,Y,SAMN02209534,
KMS127,Y,Y,SAMN02209535,
KMS128,Y,Y,SAMN02209536,
KMS129,Y,Y,SAMN02209537,
KMS130,Y,Y,SAMN02209538,
KMS131,Y,Y,SAMN02209539,
KMS132,Y,Y,SAMN02209540,
KMS133,Y,Y,SAMN02209541,
KMS134,Y,Y,SAMN02209542,
KMS135,Y,Y,SAMN02209543,
KMS136,Y,Y,SAMN02209544,
KMS137,Y,Y,SAMN02209545,
KMS138,Y,Y,SAMN02209546,
KMS139,Y,Y,SAMN02209547,
KMS140,Y,Y,SAMN02209548,
KMS141,Y,Y,SAMN02209549,
KMS142,Y,Y,SAMN02209550,
KMS143,Y,Y,SAMN02209551,
KMS144,Y,Y,SAMN02209552,
KMS145-6,Y,Y,"SAMN02209553, SAMN02209554",
KMS147,Y,Y,SAMN02209555,
KMS148-9,Y,Y,"SAMN02209556, SAMN02209557",
KMS150,Y,Y,SAMN02209558,
KMS151,Y,Y,SAMN02209559,
KMS152,Y,Y,SAMN02209560,
KMS153,Y,Y,SAMN02209561,
KMS154,Y,Y,SAMN02209562,
KMS155,Y,Y,SAMN02209563,
KMS156,Y,Y,SAMN02209564,
KMS158,Y,Y,SAMN02209565,
KMS159,Y,Y,SAMN02209566,
KMS160-1,Y,Y,"SAMN02209567, SAMN02209568",
KMS162,Y,Y,SAMN02209569,
KMS163,Y,Y,SAMN02209570,
KMS164,Y,Y,SAMN02209571,
KMS165,Y,Y,SAMN02209572,
KMS166,Y,Y,SAMN02209573,
KMS167,Y,Y,SAMN02209574,
KMS168,Y,Y,SAMN02209575,
KMS169,Y,Y,SAMN02209576,
KMS170,Y,Y,SAMN02209577,
KMS171-2,Y,Y,"SAMN02209578, SAMN02209579",
KMS174,Y,Y,SAMN02209581,
KMS175,Y,Y,SAMN02209582,
KMS176,Y,Y,SAMN02209583,
KMS177,Y,Y,SAMN02209584,
KMS201,Y,Y,SAMN02209585,
KMS203,Y,Y,SAMN02209587,
KMS204,Y,Y,SAMN02209588,
KMS205,Y,Y,SAMN02209589,
KMS206,Y,Y,SAMN02209590,
KMS207-8,Y,Y,"SAMN02209591, SAMN02209592",
KMS209-10,Y,Y,"SAMN02209593, SAMN02209594",
KMS211-3,Y,Y,"SAMN02209595, SAMN02209596",
KMS215,Y,Y,SAMN02209597,
KMS216-21,Y,Y,"SAMN02209598, SAMN02209599, SAMN02209600, SAMN02209601, SAMN02209602",
KMS223-6,Y,Y,"SAMN02209603, SAMN02209604, SAMN02209605, SAMN02209606",
KMS227-30,Y,Y,"SAMN02209607, SAMN02209608, SAMN02209609",
