"ename","SNP.Acc..Matches","yield","height","lodging","DysToR8","oil","protein","seedweight","shatearly","stemtermscore","EID"
"SOYBEAN.EVALUATION.MN0102","PI593975",1.49,39,1,111,18.3,41.2,28.9,3,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI597404",1.49,74,3,105,19.4,40.5,10.2,2,2,"1"
"SOYBEAN.EVALUATION.MN0102","PI599299",2.53,80,1.5,113,20.5,38.1,16.1,1,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI608438",2.43,78,2,121,19.4,38.3,16.9,1,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI603698H",1.28,71,2.5,111,17.4,44.4,15.5,5,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI603290",1.23,60,2.5,124,17.5,41.6,17.6,1,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI597405B",2.22,85,2.5,111,20.2,42.2,13.8,2,2,"1"
"SOYBEAN.EVALUATION.MN0102","PI603698B",1.45,85,2.5,120,17.9,42.1,17.4,3,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI594016",1.48,82,4,122,14.8,43.8,12.3,2,2,"1"
"SOYBEAN.EVALUATION.MN0102","PI597487",1.63,42,2.5,115,16.1,44.6,24,2,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI612713A",2.11,70,1.5,115,17.6,42.6,16,2,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI603758C",0.87,87,3,126,14.4,46.2,11.8,1,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI603587A",1.63,105,4.5,123,16.4,48.8,11.1,1,4,"1"
"SOYBEAN.EVALUATION.MN0102","PI603148",2.01,59,2,118,17.2,41.6,25.9,2,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI612723",2.31,68,2,124,19.3,39.1,15.5,3,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI612617A",1.77,83,3,127,17.5,43.5,17.1,2,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI603349",1.79,106,3,129,17.5,42.2,19.9,1,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI612764",2.68,74,2.5,110,21,39.6,14.6,1,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI612711B",1.3,52,1.5,122,16.9,43.6,15.1,2,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI603698E",1.6,78,3,121,17.5,50.1,13.9,4,2,"1"
"SOYBEAN.EVALUATION.MN0102","PI612722",2.31,85,2.5,126,17.9,39.2,16.8,1,2,"1"
"SOYBEAN.EVALUATION.MN0102","PI612715",2.59,78,1.5,119,18.5,41.6,19.8,2,2,"1"
"SOYBEAN.EVALUATION.MN0102","PI603373",1.47,86,3,123,17.5,50.8,15.1,1,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI603758B",0.86,75,3.5,123,14.6,46.6,11.9,1,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI603561",1.89,73,1.5,109,20.1,40.8,15.2,1,2,"1"
"SOYBEAN.EVALUATION.MN0102","PI597443",2.42,84,2,111,17.5,43,20.1,2,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI608726",2.38,93,2,111,19.4,41.4,17.9,1,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI597446",2.07,69,1.5,113,18.6,40.8,14.3,1,2,"1"
"SOYBEAN.EVALUATION.MN0102","PI599300",2.31,69,2,113,20.4,41.5,17.4,1,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI504485",1.15,41,1.5,111,15.1,45.4,22.3,5,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI603546A",1.3,69,2,125,15.6,48.5,15.6,1,1.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI593970",1.5,40,1.5,124,17.1,53.2,23,3,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI603750A",0.83,71,3,129,16.9,44.3,15.5,1,2,"1"
"SOYBEAN.EVALUATION.MN0102","PI597442",1.57,60,2.5,105,19,42.2,16.5,2,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI603361",1.77,82,2.5,125,17.6,41.2,23.2,2,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI597397B",1.97,81,2.5,111,18.8,41.5,13,1,2,"1"
"SOYBEAN.EVALUATION.MN0102","PI603371",1.22,74,2,121,15,51.8,14,1,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI603727",0.89,60,4.5,121,16.4,49.3,8.3,2,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI504494",1.06,45,2,111,15.7,45.2,22.9,4,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI603443B",0.86,64,3,103,15.9,49.3,10.7,2,3.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI593997",1.28,50,1.5,103,16.5,53.5,19.8,4.5,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI594170A",1.31,50,2,114,17.9,39.7,10.5,2,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI612714B",1.54,73,3,120,17.3,41.4,13.7,1,1.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI594198",1.54,47,2,115,17.9,42.8,21.6,3,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI612716",2.19,76,1.5,121,17.7,39.9,18.2,2,2,"1"
"SOYBEAN.EVALUATION.MN0102","PI603302",2,89,3.5,127,18.2,40.9,21.9,1,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI603298",2.29,75,2.5,119,19.2,40.2,19.7,1,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI603378A",1.52,73,2,123,17.5,39.8,18,2,1.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI603305",1.99,67,4,111,18.2,41.5,15.1,1,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI603438B",1.58,86,4,124,16.8,44.4,16,2,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI597439",1.54,68,1.5,119,19.2,39.7,17.5,1,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI593949A",1.52,47,1.5,117,17.2,41.3,28.6,2,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI603445A",1.58,73,3,127,16.4,49.1,22.1,1,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI593972",2.27,64,1.5,123,17.3,40.7,10.9,1,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI603341",2.05,63,2,116,17.9,41.6,16.9,2,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI612754",0.15,73,5,115,15.7,49,5.5,5,5,"1"
"SOYBEAN.EVALUATION.MN0102","PI612763",2.59,91,2,119,19.1,40.8,15.5,1,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI483459",0.83,54,4.5,113,12.6,48.5,3.8,3,4.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI594314",1.08,36,2,121,18.7,41.2,17.1,3,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI603350",1.87,88,2,125,17.6,42.4,18.2,1,2,"1"
"SOYBEAN.EVALUATION.MN0102","PI614833",2.44,74,2,120,18.5,40.1,15.6,1,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI603388",1.66,80,3,115,19,41.2,16.3,2,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI603293A",1.98,102,4,121,19.5,40.7,18.9,1,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI612717",2.58,64,1.5,123,19.3,39.1,20.1,1,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI593969",1.71,75,3,111,18.1,43.4,17.8,2,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI612761B",1.14,122,4,123,14.2,50.6,7.7,2,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI578417B",2.04,112,4,119,18.9,40.1,17.9,2,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI603360",1.85,86,2.5,108,18.3,40.4,18.4,2,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI603698D",1.52,75,3,123,15.7,50.3,13.6,2,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI603479",1.52,80,3,127,17.6,45.6,17.5,1,3.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI603444B",0.84,89,3.5,127,15.6,48,10.2,2,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI603758A",0.54,75,4.5,130,15.1,45.8,12.2,2,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI603704A",0.29,68,4.5,129,14.1,52.5,9.4,3,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI603375",1.29,89,3,121,18.3,39.5,15.4,2,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI597445",1.82,66,2,114,18.9,41.7,15.2,1,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI468907",0.97,101,4,117,11.7,55.4,4.6,2,5,"1"
"SOYBEAN.EVALUATION.MN0102","PI603422B",0.87,122,5,129,16.3,49,7.8,2,4,"1"
"SOYBEAN.EVALUATION.MN0102","PI578418",2.03,86,2,113,19.1,40.1,20.3,1,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI593973",1.66,39,1,117,17.8,42.6,24,3,1,"1"
