Entry,Accession,Biomass.Yield.dry.weight.2016,Biomass.Yield.dry.weight.2017,Biomass.Yield.dry.weight.2018
RU2012-058,RU2012-058,28,106,24.9
KMS319,KMS319,23,98,223.52
KMS259,KMS259,14,120,137.42
KMS430,KMS430,107,325,416.97
JY216,JY216,9,60,159.29
JY199,JY199,24,95,211.12
KMS257,KMS257,26,135,266.26
JY148,JY148,19,91,68.07
KMS452,KMS452,23,102,156.72
KMS291,KMS291,20,98,174.58
KMS408,KMS408,23,105,326.06
JY169,JY169,10,51,49.71
JM2014-H-19,JM2014-H-19,4,36,58.74
JM2014-H-26,JM2014-H-26,30,132,82.73
JY153,JY153,16,87,7
RU2012-189,RU2012-189,18,125,105.62
JY162,JY162,15,78,196.94
KMS444,KMS444,22,101,217.83
JY166,JY166,21,79,257.48
JM2014-H-3,JM2014-H-3,47,187,164.39
RU2012-168,RU2012-168,12,84,12.04
JPN-2010-006,JPN-2010-006,65,324,234.65
JM2014-H-16,JM2014-H-16,29,108,114.89
RU2012-080,RU2012-080,34,157,167.44
JMShira(N24),JMShira(N24),9,69,240.62
JM2014-K-8,JM2014-K-8,21,185,10.9
JY026,JY026,16,78,41.07
RU2012-073,RU2012-073,28,106,34.49
RU2012-052,RU2012-052,19,81,87.88
JM2014-H-77,JM2014-H-77,21,178,43.02
JPN-2011-005,JPN-2011-005,25,114,193.75
RU2012-098,RU2012-098,12,91,169
JY007,JY007,8,56,134.43
PMS-071,PMS-071,39,187,69.68
RU2012-108,RU2012-108,45,201,80.41
M. sacchariflorus 'Bluemel'-UI10-00117,UI10-00117,22,88,198.53
JM2014-H-60,JM2014-H-60,68,265,169.45
JY267,JY267,32,115,224.27
JY037,JY037,45,154,NA
KMS308,KMS308,25,NA,159.29
JM2014-H-20,JM2014-H-20,18,71,57.96
JM2014-H-67,JM2014-H-67,NA,NA,NA
RU2012-169,RU2012-169,23,85,100.73
JY250,JY250,15,48,42.29
KMS302,KMS302,13,45,141.2
KMS383,KMS383,38,132,160.96
JPN-2010-009,JPN-2010-009,39,129,63.55
KMS292,KMS292,90,302,1168.56
KMS262,KMS262,78,226,1909.48
KMS269,KMS269,52,168,132.65
UI11-00039,UI11-00039,61,203,101.33
RU2012-211,RU2012-211,24,87,124.82
RU2012-042,RU2012-042,15,54,11.35
JM2014-H-53,JM2014-H-53,30,106,93.58
JY276,JY276,59,178,199
RU2012-141,RU2012-141,19,68,198.61
JM2014-H-73,JM2014-H-73,25,87,191.45
RU2012-050,RU2012-050,27,91,37.4
KMS330,KMS330,32,107,394.73
JM1(N24),JM1(N24),12,52,227.39
KMS453,KMS453,58,141,700.28
RU2012-065,RU2012-065,36,118,12.87
JM2014-H-11,JM2014-H-11,63,198,164.5
RU2012-131,RU2012-131,98,317,57.23
KMS398,KMS398,112,348,61.09
RU2012-206,RU2012-206,11,52,78.5
JY292,JY292,52,187,41.76
RU2012-041,RU2012-041,9,42,80.47
KMS301,KMS301,56,174,258.29
KMS365,KMS365,13,51,350.85
JY126,JY126,19,84,51.62
JY049,JY049,81,282,327.66
JY197,JY197,47,164,237.94
JY230,JY230,51,145,212.57
RU2012-053,RU2012-053,17,65,18.31
JM2014-H-27,JM2014-H-27,14,52,237.38
RU2012-178,RU2012-178,23,82,146.76
KMS275,KMS275,54,179,178.28
JY261,JY261,61,199,181.45
KMS439,KMS439,86,283,368.44
JY191,JY191,15,54,863.78
KMS388,KMS388,54,175,148.02
JY172,JY172,12,49,133.49
RU2012-162,RU2012-162,49,136,155.03
JM2014-H-50,JM2014-H-50,57,200,163.24
PMS-075,PMS-075,75,258,77.58
JM11-027-1,JM11-027-1,16,69,93.05
JM2014-H-58,JM2014-H-58,59,182,84.14
JY252,JY252,18,71,35.59
JM11-024,JM11-024,12,48,220.9
JY280,JY280,21,81,137.36
JM2014-H-9,JM2014-H-9,9,45,124.36
RU2012-017,RU2012-017,11,52,39.96
JM2014-M-3,JM2014-M-3,53,140,246.7
IGR-2011-005,IGR-2011-005,48,162,241.65
JM2014-H-48,JM2014-H-48,23,98,203.48
KMS346,KMS346,87,294,215.91
RU2012-156,RU2012-156,43,154,130.16
JY068,JY068,75,245,298.47
JY243,JY243,14,68,95.11
M. sacchariflorus 'Hortico'-UI10-00008,UI10-00008,57,180,174.49
JM2014-H-7,JM2014-H-7,17,68,94.74
RU2012-038,RU2012-038,8,45,19.25
JY004,JY004,22,89,55.24
JY270,JY270,48,152,138.19
RU2012-138,RU2012-138,51,164,215.37
JM2014-H-62,JM2014-H-62,17,74,87.11
JM2014-H-47,JM2014-H-47,41,111,112.39
JM2014-H-22,JM2014-H-22,16,58,273.65
JY205,JY205,18,72,277.12
KMS351,KMS351,45,158,305.07
JY185,JY185,44,163,NA
UI11-00035,UI11-00035,11,50,90.64
JY134,JY134,9,53,160.3
KMS323,KMS323,62,204,1155.06
RU2012-056.2 (2x),RU2012-056.2 (2x),86,282,80.69
JY010,JY010,18,68,60.91
KMS411,KMS411,12,52,NA
KMS390,KMS390,16,60,337.75
JY288,JY288,22,80,178.4
RU2012-163,RU2012-163,91,299,75.71
JY202,JY202,105,299,305.92
JY177,JY177,135,387,431.24
RU2012-070,RU2012-070,55,NA,186.98
JY251,JY251,26,87,34.12
RU2012-105,RU2012-105,13,69,84.17
KMS449,KMS449,17,68,118.65
RU2012-044,RU2012-044,NA,NA,9.7
JPN-2011-017,JPN-2011-017,79,230,391.8
JPN-2011-002,JPN-2011-002,56,187,210.54
KMS403,KMS403,48,165,746.6
KMS405,KMS405,95,298,472.59
JY208,JY208,NA,NA,NA
JY268,JY268,83,270,305.52
KMS434,KMS434,39,136,500.83
RU2012-128,RU2012-128,24,87,142.41
JPN-2011-004,JPN-2011-004,11,45,163.62
JY254,JY254,66,195,116
JM2014-H-44,JM2014-H-44,51,139,124.61
JY213,JY213,12,54,90.03
JY287,JY287,14,65,38.43
RU2012-019,RU2012-019,19,85,25.96
